id,activity_date,activity,costs,is_active,created_at,farm_id
1,2023-12-18,"Se realizó el empadre de la hembra que está en la jaula central, particularmente la que está en las esquina más cercana al tronco del mezquite. El semental fue ""Teclalitlán"".",0.00,t,2023-12-19,1
2,2023-12-05,"Se empadró la hembra ""Alita"" con el semental ""Yulelé"" ubicado en la casa de Mariela",0.00,t,2023-12-19,1
3,2023-12-19,Se conflictuó mamá y papá porque el papá se quedo dormido después de almorzar. El punto es que yo estaba cansado de haber hecho crossfit y corrido 5K en la campana.,0.00,t,2023-12-19,1
4,2023-12-19,Gracias Padre Dios por escuchar mis plegarias.,0.00,t,2023-12-19,1
5,2023-12-20,"Se sacrificaron dos conejos: uno macho, el que tenía la cruza con el conejo Benito, y un hembra color canela que estaba en la jaula verde al lado derecho entrando por la puerta principal",0.00,t,2023-12-20,1
6,2023-12-20,"Se vendió un Gazapo de la coneja que esta en lactancia. Además, se cambió la jaula a la parte frontal del lote, junto al zaguan o portón.",80.00,t,2023-12-20,1
7,2023-12-20,Se cobró a la hermana Deisy por el cuidado del perro Oreo. Consistió en tres noches y un día.,270.00,t,2023-12-20,1
8,2023-12-21,"La hembra, que esta en la  última jaula adyacente a la barda del lado izquierdo entrando por la puerta principal. Se volvió a empadrar con el semental ""Tecalitlán"" y si la cargó dos veces.",0.00,t,2023-12-21,1
9,2023-12-21,"Se vendieron 12 conejos dando un total de 17.3 kilogramos. Fue la señora María de Jesús del restaurant que vendo conejo y godorniz.  Se cobró flete de $50.00, dicho fleta va incluido en el costo.",2600.00,t,2023-12-21,1
10,2023-12-21,Se compró un seis de cerveza modelo especial en lata para la posada de catequistas en la parroquia,100.00,t,2023-12-22,1
11,2023-12-22,Se regaló a mi mamá con motivo de la navidad quinientos pesos en efectivo. Niria aportó otros quinientos pesos.,500.00,t,2023-12-22,1
12,2023-12-22,Comí un pan y un pezado de pan frances en el desayuno al que nos invito Mildred.,0.00,t,2023-12-22,1
13,2023-12-20,Bolsa de plástico de 35 X 45 para empacar la carne de conejo y los desperdicios,60.00,t,2023-12-23,1
14,2023-12-20,Compra de recojedor de basura para la granja,50.00,t,2023-12-23,1
17,2023-12-23,"Se compró veneno para ratas en IVECOL, salida a Comala",20.00,t,2023-12-23,1
18,2023-12-23,Se vendió un gazapo color miel de la hembra que está en el suelo junto al portón,110.00,t,2023-12-24,1
19,2023-12-30,"Se compró una onza de plata libertad, en una casa de compra venta de plata",620.00,t,2024-01-01,1
20,2024-01-02,Niria se quejó de no estudio nada. Pero lo curioso que no se queja de atender a su familia de la mejor manera. Injusto por donde quiera que lo veo. Por otro lado se queja de que el vender conejos por facebook me quita el tiempo. No es justo.,0.00,t,2024-01-02,1
21,2024-01-02,"Hoy se empadró la coneja ""Tronchatoro"" que está en la jaula del suelo con el conejo blanco.",0.00,t,2024-01-02,1
22,2024-01-02,"Se empadró la coneja pinta que está en la jaula del central con el ""Tecalitlán"".",0.00,t,2024-01-02,1
23,2023-12-31,Parió la coneja pinta que está en la primera jaula que está  a lado derecho de la entrada.,0.00,t,2024-01-02,1
24,2024-01-02,Se compró una paca de alfalfa en SIVECOL folio 444,165.00,t,2024-01-02,1
25,2024-01-02,"Se compró un costal de alimento para conejo en Forrajera Calentano, folio 0127",445.00,t,2024-01-02,1
26,2024-01-04,Se vendió gazapo,180.00,t,2024-01-04,1
27,2024-01-04,Se vendió un Kilogramo de alimento para conejo,12.00,t,2024-01-04,1
28,2024-01-04,Se vendió 250 gramos de alfalfa,10.00,t,2024-01-04,1
29,2024-01-04,Se realizó recarga de celular,100.00,t,2024-01-04,1
30,2024-01-04,Se pagó la mano de obra de la camioneta Ford Ranger,500.00,t,2024-01-04,1
31,2024-01-05,"Se comprón un saco de alimento para conejo SIVECOL, remisión no. 913",419.00,t,2024-01-05,1
32,2024-01-05,"Se compró alimento para gallina ponedora SIVECOL, remisión no. 913",402.00,t,2024-01-05,1
33,2024-01-05,"Se compró dos cubos de veneno para rata, SIVECOL remisión no. 913",20.00,t,2024-01-05,1
34,2024-01-05,La hembra que está en la jaula penultima de la barda que conlinda con la carpintería se aparió con el semental que tenía en la cochera de la casa.,0.00,t,2024-01-05,1
35,2024-01-05,"Me llevé el conejo macho que tenía aquí en la cochera, la hembra se quedó sola.",0.00,t,2024-01-05,1
36,2023-09-01,"Compra de un saco de alimento para conejo SIVECOL, remisión  148",435.00,t,2024-01-06,1
37,2024-01-06,"Se compró alimento para gallina ponedora SIVECOL, remisión no. 148",475.00,t,2024-01-06,1
38,2024-01-06,Se sacrificó a una coneja color marron pesó 1.250 kg en canal. Por lo que queda en congelador.,0.00,t,2024-01-06,1
39,2024-01-06,"La hembra que se aparió con el conejo ""Yulele"" parió. Esta hembra es la que esta en la segunda jaula que colinda con la barda del lado izquierdo vista desde la entrada del lote.",0.00,t,2024-01-06,1
40,2024-01-07,"Parió la coneja que está en la jaula central. El cajón de en medio del lado derecho. Sopresivamente, no sabía que estaba gestando. Los gazapos estaban tirados. Se le pusieron a la hembra que se cruzó con el Yulelé.",0.00,t,2024-01-07,1
41,2024-01-07,"Se sacrificó conejo, pesó 1.230 Kg.",0.00,t,2024-01-07,1
15,2023-12-23,"Se compró un saco de alimento para conejo SIVECOL, remisión 424",419.00,t,2023-12-23,1
16,2023-12-23,"Se compró una paca de alfalfa SIVECOL, remisión 424",165.00,t,2023-12-23,1
